Date,GDP (current US$),GDP (constant 2015 US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita (constant 2015 US$),GDP per capita growth (annual %),"GDP, PPP (current international $)","GDP, PPP (constant 2017 international $)",GNI (current US$),GNI (constant 2015 US$),GNI growth (annual %),"Exports of goods and services (BoP, current US$)",Exports of goods and services (constant 2015 US$),Exports of goods and services (annual % growth),"Imports of goods and services (BoP, current US$)",Imports of goods and services (constant 2015 US$),Imports of goods and services (annual % growth),"Inflation, consumer prices (annual %)","External debt stocks, total (DOD, current US$)",External debt (% of GDP),"GDP, PPP Growth (annual %)"
1983,28691889763.7795,66441693145.0212,6.77837833870637,315.017265891048,729.484209232492,2.96568128697162,,,28268946910.2362,65462286088.72901,6.319799735683107,3662621180.44509,6196073529.80974,24.5725341565628,6607694675.66819,20803949002.219,11.1069725330284,6.36203349985299,12026223274.4,41.91506161989317,
1984,31151825467.4978,69807101510.0994,5.06520560475876,331.388765820642,742.598190243593,1.79770594690443,,,30706971613.2383,68810243133.57016,5.1143295550406975,3286530740.03267,5967308276.07391,-3.69210037026234,7355744358.94291,22308611750.6086,7.23258237284234,6.08716673573719,12227885011.6,39.25254725235265,
1985,31144920844.3272,75106936724.6233,7.59211469875606,320.679810021232,773.329247504439,4.13831566849974,,,30636427793.5356,73880690057.2579,7.368738566793476,3509101707.26676,5945824114.56381,-0.360031031013449,7090127076.54375,24297770359.5227,8.91655039386239,5.6148392179322,13464882307.0,43.23299575652163,
1986,31899070055.7967,79239060260.7471,5.50165366386082,317.02979833839,787.519612673574,1.83497070813343,,,31255404416.615,77499679960.1613,4.898424608782981,4035982897.93706,7896552634.01045,32.8083791558599,7200329462.07479,23699720451.4201,-2.46133657225968,3.50641424758203,14954407650.6,46.880387498576894,
1987,33351529274.6869,84351836238.3006,6.45234302467648,319.915391915237,809.121840461669,2.74307172043078,,,32653162967.6668,82416360191.9539,6.34412972327108,4928011006.59509,8843320705.29649,11.9896379492021,7570955417.21271,24171802056.9959,1.9919290041563,4.68121854620214,16797670141.1,50.36551698350178,
1988,38472742808.3167,90783898907.1746,7.62527877959033,356.335215384388,840.842056198019,3.92032622902015,,,37638850724.0103,88643271967.1726,7.55543166516424,5282184414.62331,8461946359.94167,-4.31256943024135,8623660010.5993,23348764984.3611,-3.40494709783763,8.83793701817778,17065165352.3,44.35650828776107,
1989,40171018229.0715,95286570486.304,4.95976889440861,359.728480109951,853.284150789127,1.47971839650441,,,39281967545.6771,93018767343.2041,4.93607160355261,6005657389.31981,9627553557.51619,13.7746937642199,9112947789.20635,25291895709.5892,8.32219916783433,7.84426473740038,18348188708.1,45.67518951964612,
1990,40010423970.4576,99535004954.566,4.45858681509861,346.668515520908,862.416565129213,1.07026649113786,232796825930.011,353344025646.943,39037984570.654,96938535935.1989,4.21395456417126,6834726234.04086,9735861012.02851,1.1249737938645,10205366734.0766,24406781152.5373,-3.49959752805854,9.0521315527978,20663375831.9,51.64498093586103,
1991,45625234697.7094,104573036669.867,5.06156775458133,382.750576014292,877.264309677399,1.72164417388731,252851107253.442,371228772911.829,44456418830.356,101741152676.414,4.95429056657623,7941736412.83459,12993989280.5029,33.4652298800185,10997458784.5885,22601429091.8027,-7.39692813014364,11.7912703351416,23363317172.7,51.20700710362143,5.061567754581531
1992,48884606848.1265,112631328025.675,7.70589782263585,399.465048775345,920.37722801349,4.91447307960647,278541838300.247,399835282840.639,47608413397.6312,109515932335.139,7.64172554979115,8472573666.60565,14789886022.3781,13.8209806327136,12399961066.4924,29572416097.0896,30.8431249058283,9.50904146190146,24919617589.9,50.97640995113177,7.705897822635732
1993,51809949334.2396,114611102601.62,1.75774769830849,412.674999913296,912.89679615512,-0.812757164202793,290156341839.976,406863378321.796,50299012145.108,111086324055.057,1.43393905017615,8366368531.4848,14984721779.8414,1.31735807272899,12018661354.0904,33962251404.1039,14.844357974005,9.9736647602921,24551561529.1,47.3877350674702,1.7577476983086093
1994,52293456906.2665,118894595775.998,3.7374155532444,404.60675976577,919.915415743397,0.768829468767777,307428330192.997,422069553503.65,50683413485.0958,115018689310.372,3.53991842719179,8869455611.7276,15450845955.5597,3.11066286426099,11884759296.5389,30297948648.9229,-10.789339939749,12.3681943936948,27390827116.9,52.379071374066434,3.7374155532442943
1995,60636022422.6176,124794869862.951,4.96260914841646,455.507603093508,937.479237233664,1.90928657023034,329451176483.415,443015215778.503,58850661626.4522,120855647837.076,5.07479137668963,10213602183.1597,14975683769.9266,-3.07531501511161,14185295078.085,31500709620.5808,3.96977691656559,12.3435785170513,30241086482.6,49.87313691493044,4.96260914841653
1996,63320122807.1223,130843154669.556,4.84658128434863,461.399864998701,953.425407661187,1.70096251673557,351742793549.311,464486308313.24,61353009810.8316,126482643801.549,4.65596442133898,10523484820.7401,15274382542.494,1.99455849333054,15622529174.6008,35782744604.2642,13.5934556245228,10.3738085885002,29850953918.3,47.14291854617556,4.846581284348495
1997,62433300338.0941,132170422415.143,1.01439601402073,441.754633762166,935.188372743558,-1.91279095051243,361437950131.245,469198038910.442,60247003571.199,127202010402.991,0.568747284070753,9975895498.67247,14276053013.5726,-6.53597306564784,13408451099.9428,34428275862.853,-3.78525671071566,11.3754928865122,30095124742.1,48.20364225361518,1.0143960140208241
1998,62191955814.3478,135541077855.994,2.55023429543455,427.506327495099,931.706804524959,-0.372285233656712,374827314649.75,481163688212.242,59853183245.9639,129885794907.247,2.10986013173317,9155000000.0,13458039160.5473,-5.7299720885571,11996000000.0,32493017706.6865,-5.62113003821554,6.22800415424547,32310194703.8,51.95236953192261,2.5502342954344615
1999,62973855718.8874,140502061227.477,3.66013274348722,420.682601597428,938.592245499884,0.739013704899904,394022016363.147,498774917914.27,61165855718.8874,136077023243.746,4.76667085951897,8945000000.0,13074442374.3085,-2.850317060774,11565000000.0,30737931452.6341,-5.40142583830018,4.14263718082168,34192272492.3,54.29598061286393,3.660132743487421
2000,82017743416.2841,146487572694.003,4.26008801168791,531.306496052198,948.938555505172,1.10232212708917,420114745346.839,520023168397.642,79997743416.2841,142598126004.712,4.792214442614,9997000000.0,15168445230.7284,16.0160012677451,12026000000.0,30046313610.9795,-2.25004679550536,4.36666451291681,33111988980.4,40.371738603364,4.2600880116879125
2001,79484403984.8849,151694353661.728,3.55441821580422,499.218306168163,952.74789133077,0.401431241622461,444848790600.873,538506966621.57,77324403984.8849,147290305272.388,3.29049153669901,10471000000.0,17015656125.1276,12.1779844031549,11952000000.0,30694173880.4802,2.15620550956376,3.14826144590616,32046178980.2,40.31756844562116,3.5544182158042004
2002,79904985384.8652,155499360359.776,2.50833772398214,489.425527180022,952.448161446693,-0.0314595169199237,463114114429.942,552014540011.61,77585985384.8652,150669435717.394,2.29419746177923,12158000000.0,18709424580.5349,9.95417657098774,12566000000.0,31629250097.3685,3.04642900808926,3.29034472613156,33967034723.9,42.50928094197949,2.5083377239820015
2003,91760542940.0717,164482611265.109,5.77703399200348,549.87037697581,985.653665120306,3.48633185696711,499536413129.965,583904607628.883,89549542940.0717,160275972079.694,6.37590252897651,14775000000.0,24019018088.2742,28.379245363128,15210000000.0,35177907207.4764,11.2195423514109,2.91413470059477,36668571730.4,39.96115384185122,5.7770339920036
2004,107759683863.123,176895883686.619,7.54686001519235,631.471170778428,1036.60893177231,5.16969280947043,551657326010.054,627971070988.893,105552683863.123,173081229399.848,7.98950532259886,16027010000.0,23652291660.3135,-1.52681690239338,22007000000.0,32160485291.9143,-8.5776049659965,7.44462469342738,36561942040.2,33.92914745986189,7.546860015192336
